Timestamp,Microseconds,Report_1_IAX_A,Report_1_IBX_A,Report_1_ICX_A,Report_1_VAX_V,Report_1_VBX_V,Report_1_VCX_V,Report_1_52AX,Report_1_ER,Report_1_LT08,Report_1_TRIP,Report_1_TRX
2021/02/23 04:06:51.355762,54076.54,171.827,479.4184,-683.0651,-48.08326,362.0387,-313.9554,1,0,1,0,0
2021/02/23 04:06:51.356282,54596.507,25.45584,572.7565,-625.7895,-127.2792,386.0803,-257.3869,1,0,1,0,0
2021/02/23 04:06:51.356802,55116.473,-142.1285,651.2454,-536.694,-202.2325,397.394,-193.7473,1,0,1,0,0
2021/02/23 04:06:51.357322,55636.44,-288.4996,704.2783,-432.7493,-264.4579,391.7372,-124.4508,1,0,1,0,0
2021/02/23 04:06:51.357842,56156.407,-398.8082,712.7636,-328.8047,-313.9554,367.6955,-52.3259,1,0,1,0,0
2021/02/23 04:06:51.358362,56676.374,-506.9955,704.2783,-212.132,-352.1392,329.5117,22.62742,1,0,1,0,0
2021/02/23 04:06:51.358882,57196.34,-593.9697,661.8519,-63.63961,-380.4234,278.6001,101.8234,1,0,1,0,0
2021/02/23 04:06:51.359402,57716.307,-674.5798,570.6352,114.5513,-397.394,214.9605,179.6051,1,0,1,0,0
2021/02/23 04:06:51.359922,58236.274,-729.7342,475.1758,265.165,-395.9798,147.0782,247.4874,1,0,1,0,0
2021/02/23 04:06:51.360442,58756.241,-753.0687,381.8376,379.7163,-376.1808,74.95332,301.2275,1,0,1,0,0
2021/02/23 04:06:51.360962,59276.207,-757.3113,288.4996,477.2971,-343.6539,1.414214,343.6539,1,0,1,0,0
2021/02/23 04:06:51.361482,59796.174,-717.0063,163.3417,566.3925,-296.9848,-77.78175,374.7666,1,0,1,0,0
2021/02/23 04:06:51.362002,60316.141,-621.5469,10.6066,632.1534,-237.5879,-156.9777,395.9798,1,0,1,0,0
2021/02/23 04:06:51.362522,60836.108,-509.1169,-144.2498,678.8225,-171.1198,-227.6884,400.2224,1,0,1,0,0
2021/02/23 04:06:51.363042,61356.074,-398.8082,-267.2863,704.2783,-100.4092,-284.2569,384.6661,1,0,1,0,0
2021/02/23 04:06:51.363562,61876.041,-294.8635,-371.231,710.6423,-28.28427,-328.0975,354.9676,1,0,1,0,0
2021/02/23 04:06:51.364082,62396.008,-171.827,-479.4184,693.6718,48.08326,-363.4529,312.5412,1,0,1,0,0
2021/02/23 04:06:51.364602,62915.974,-23.33452,-572.7565,632.1534,127.2792,-387.4945,257.3869,1,0,1,0,0
2021/02/23 04:06:51.365122,63435.941,146.3711,-653.3666,540.9367,202.2325,-397.394,192.333,1,0,1,0,0
2021/02/23 04:06:51.365642,63955.908,292.7422,-702.157,436.992,264.4579,-390.3229,124.4508,1,0,1,0,0
2021/02/23 04:06:51.366162,64475.875,407.2935,-717.0063,330.926,313.9554,-367.6955,52.3259,1,0,1,0,0
2021/02/23 04:06:51.366682,64995.841,513.3595,-708.521,210.0107,352.1392,-329.5117,-24.04163,1,0,1,0,0
2021/02/23 04:06:51.367202,65515.808,606.6976,-661.8519,55.15433,380.4234,-277.1859,-103.2376,1,0,1,0,0
2021/02/23 04:06:51.367722,66035.775,680.9438,-564.2712,-112.43,395.9798,-214.9605,-181.0193,1,0,1,0,0
2021/02/23 04:06:51.368242,66555.742,733.9768,-468.8118,-256.6797,394.5656,-145.664,-248.9016,1,0,1,0,0
2021/02/23 04:06:51.368762,67075.708,757.3113,-377.595,-375.4737,374.7666,-74.95332,-301.2275,1,0,1,0,0
2021/02/23 04:06:51.369282,67595.675,761.554,-280.0143,-477.2971,342.2397,0,-343.6539,1,0,1,0,0
2021/02/23 04:06:51.369801,68115.642,719.1276,-154.8564,-564.2712,295.5706,77.78175,-376.1808,1,0,1,0,0
2021/02/23 04:06:51.370321,68635.609,630.0321,-2.12132,-634.2748,236.1737,158.3919,-395.9798,1,0,1,0,0
2021/02/23 04:06:51.370841,69155.575,511.2382,150.6137,-685.1865,169.7056,229.1026,-400.2224,1,0,1,0,0
2021/02/23 04:06:51.371361,69675.542,400.9295,275.7716,-700.0357,98.99495,284.2569,-384.6661,1,0,1,0,0
2021/02/23 04:06:51.371881,70195.509,290.6209,388.2016,-708.521,25.45584,329.5117,-354.9676,1,0,1,0,0
2021/02/23 04:06:51.372401,70715.476,169.7056,485.7823,-695.7931,-50.91169,363.4529,-312.5412,1,0,1,0,0
2021/02/23 04:06:51.372921,71235.442,16.97056,581.2418,-632.1534,-130.1077,387.4945,-255.9727,1,0,1,0,0
2021/02/23 04:06:51.373441,71755.409,-146.3711,661.8519,-545.1793,-205.061,397.394,-190.9188,1,0,1,0,0
2021/02/23 04:06:51.373961,72275.376,-292.7422,704.2783,-436.992,-267.2863,390.3229,-123.0366,1,0,1,0,0
2021/02/23 04:06:51.374481,72795.342,-405.1722,719.1276,-330.926,-315.3696,367.6955,-49.49747,1,0,1,0,0
2021/02/23 04:06:51.375001,73315.309,-511.2382,714.8849,-203.6467,-353.5534,329.5117,25.45584,1,0,1,0,0
2021/02/23 04:06:51.375521,73835.276,-600.3336,659.7306,-48.79037,-381.8376,275.7716,104.6518,1,0,1,0,0
2021/02/23 04:06:51.376041,74355.243,-678.8225,568.5139,125.1579,-397.394,213.5462,182.4335,1,0,1,0,0
2021/02/23 04:06:51.376561,74875.209,-736.0981,470.9331,271.529,-394.5656,144.2498,250.3158,1,0,1,0,0
2021/02/23 04:06:51.377081,75395.176,-757.3113,386.0803,377.595,-374.7666,72.12489,302.6417,1,0,1,0,0
2021/02/23 04:06:51.377601,75915.143,-753.0687,290.6209,479.4184,-342.2397,-1.414214,343.6539,1,0,1,0,0
2021/02/23 04:06:51.378121,76435.11,-712.7636,163.3417,562.1499,-295.5706,-80.61017,376.1808,1,0,1,0,0
2021/02/23 04:06:51.378641,76955.076,-621.5469,8.485281,632.1534,-236.1737,-159.8061,395.9798,1,0,1,0,0
2021/02/23 04:06:51.379161,77475.043,-504.8742,-144.2498,683.0651,-169.7056,-230.5168,400.2224,1,0,1,0,0
2021/02/23 04:06:51.379681,77995.01,-396.6869,-275.7716,704.2783,-98.99495,-285.6711,384.6661,1,0,1,0,0
2021/02/23 04:06:51.380201,78514.977,-286.3782,-386.0803,712.7636,-25.45584,-329.5117,354.9676,1,0,1,0,0
2021/02/23 04:06:51.380721,79034.943,-161.2203,-490.025,689.4291,50.91169,-364.8671,311.127,1,0,1,0,0
2021/02/23 04:06:51.381241,79554.91,-14.84924,-585.4844,627.9108,131.5219,-387.4945,254.5584,1,0,1,0,0
2021/02/23 04:06:51.381761,80074.877,150.6137,-655.488,538.8154,205.061,-397.394,190.9188,1,0,1,0,0
2021/02/23 04:06:51.382281,80594.843,294.8635,-695.7931,436.992,265.8721,-390.3229,121.6224,1,0,1,0,0
2021/02/23 04:06:51.382801,81114.81,409.4148,-710.6423,326.6833,315.3696,-366.2813,49.49747,1,0,1,0,0
2021/02/23 04:06:51.383321,81634.777,511.2382,-700.0357,205.7681,353.5534,-328.0975,-26.87006,1,0,1,0,0
2021/02/23 04:06:51.383841,82154.744,606.6976,-653.3666,50.91169,380.4234,-275.7716,-106.066,1,0,1,0,0
2021/02/23 04:06:51.384361,82674.71,678.8225,-562.1499,-114.5513,395.9798,-212.132,-183.8478,1,0,1,0,0
2021/02/23 04:06:51.384881,83194.677,727.6129,-468.8118,-263.0437,393.1514,-142.8356,-250.3158,1,0,1,0,0
2021/02/23 04:06:51.385400,83714.644,755.19,-373.3524,-377.595,373.3524,-70.71068,-302.6417,1,0,1,0,0
2021/02/23 04:06:51.385920,84234.611,755.19,-273.6503,-477.2971,340.8255,2.828427,-345.0681,1,0,1,0,0
2021/02/23 04:06:51.386440,84754.577,708.521,-146.3711,-564.2712,294.1564,82.02438,-376.1808,1,0,1,0,0
2021/02/23 04:06:51.386960,85274.544,615.1829,0,-630.0321,233.3452,161.2203,-395.9798,1,0,1,0,0
2021/02/23 04:06:51.387480,85794.511,509.1169,152.7351,-674.5798,166.8772,230.5168,-400.2224,1,0,1,0,0
2021/02/23 04:06:51.388000,86314.478,394.5656,273.6503,-697.9144,96.16652,287.0854,-383.2519,1,0,1,0,0
2021/02/23 04:06:51.388520,86834.444,292.7422,383.959,-702.157,22.62742,330.926,-353.5534,1,0,1,0,0
2021/02/23 04:06:51.389040,87354.411,167.5843,485.7823,-683.0651,-53.74012,364.8671,-309.7128,1,0,1,0,0
2021/02/23 04:06:51.389560,87874.378,12.72792,576.9991,-623.6682,-132.9361,387.4945,-253.1442,1,0,1,0,0
2021/02/23 04:06:51.390080,88394.345,-146.3711,657.6093,-532.4514,-206.4752,397.394,-188.0904,1,0,1,0,0
