Timestamp,Microseconds,Report_1_IA,Report_1_IB,Report_1_IC,Report_1_VA_kV,Report_1_VB_kV,Report_1_VC_kV
2019/07/12 13:20:45.609915,16273.329,3.712311,-2.59791,-8.246279,8.749739,-10.39871,1.643316
2019/07/12 13:20:45.610045,16403.516,3.606245,-3.314917,-7.981821,9.033996,-10.16112,1.118643
2019/07/12 13:20:45.610175,16533.703,4.190315,-3.872117,-8.034147,9.357851,-9.905152,0.5176021
2019/07/12 13:20:45.610305,16663.889,4.905907,-4.030509,-7.875755,9.697262,-9.637865,-0.08768124
2019/07/12 13:20:45.610436,16794.076,5.091168,-4.640035,-8.007277,9.968791,-9.36775,-0.6010408
2019/07/12 13:20:45.610566,16924.263,4.905907,-5.064299,-7.609883,10.13143,-9.118849,-1.012577
2019/07/12 13:20:45.610696,17054.449,4.772971,-4.905907,-7.476947,10.25446,-8.865705,-1.414214
2019/07/12 13:20:45.610826,17184.636,5.064299,-4.427903,-8.113343,10.42417,-8.54185,-1.907774
2019/07/12 13:20:45.610956,17314.823,6.496897,-2.730846,-11.08319,10.65893,-8.094958,-2.572454
2019/07/12 13:20:45.611086,17445.009,7.133293,-1.405728,-13.20593,10.89369,-7.581599,-3.302189
2019/07/12 13:20:45.611217,17575.196,7.476947,-1.08753,-13.81545,11.05915,-7.137536,-3.915957
2019/07/12 13:20:45.611347,17705.383,6.522353,-1.08753,-13.12532,11.15532,-6.759941,-4.402447
2019/07/12 13:20:45.611477,17835.569,4.905907,-1.405728,-11.08319,11.20623,-6.414872,-4.801255
2019/07/12 13:20:45.611607,17965.756,3.552505,-1.08753,-9.598268,11.24441,-6.04152,-5.198649
2019/07/12 13:20:45.611737,18095.942,2.14819,0.106066,-10.07627,11.25148,-5.596043,-5.639884
2019/07/12 13:20:45.611868,18226.129,1.670186,1.803122,-11.64039,11.21754,-5.091168,-6.130616
2019/07/12 13:20:45.611998,18356.316,1.670186,2.863783,-12.62186,11.17512,-4.591951,-6.585992
2019/07/12 13:20:45.612128,18486.502,1.855448,3.075914,-13.04612,11.12845,-4.149302,-6.970658
2019/07/12 13:20:45.612258,18616.689,1.697056,2.863783,-12.96692,11.04784,-3.672712,-7.360981
2019/07/12 13:20:45.612388,18746.876,0.9277241,3.606245,-13.12532,10.89793,-3.068844,-7.814944
2019/07/12 13:20:45.612519,18877.062,-0.05374011,3.951313,-13.20593,10.69145,-2.422548,-8.267492
2019/07/12 13:20:45.612649,19007.249,-0.6632662,3.473309,-12.56812,10.46377,-1.876661,-8.58569
2019/07/12 13:20:45.612779,19137.436,-0.185262,3.18198,-12.80712,10.22052,-1.353402,-8.860047
2019/07/12 13:20:45.612909,19267.622,-0.212132,3.739181,-13.65565,9.953235,-0.7269058,-9.224915
2019/07/12 13:20:45.613039,19397.809,0.185262,4.109704,-14.66398,9.674635,-0.05939697,-9.623723
2019/07/12 13:20:45.613169,19527.995,0.7962022,4.163445,-14.98218,9.401691,0.5176021,-9.933436
2019/07/12 13:20:45.613300,19658.182,1.458054,3.314917,-14.55791,9.142891,0.9701505,-10.12718
2019/07/12 13:20:45.613430,19788.369,1.882318,2.996718,-14.21285,8.898232,1.364716,-10.28275
2019/07/12 13:20:45.613560,19918.555,2.09445,3.314917,-14.18598,8.613975,1.84272,-10.47225
2019/07/12 13:20:45.613690,20048.742,0.6632662,5.700695,-14.90298,8.201024,2.501744,-10.71125
2019/07/12 13:20:45.613820,20178.929,-0.6632662,8.087887,-15.7501,7.694736,3.251277,-10.96015
2019/07/12 13:20:45.613951,20309.115,-0.9814642,9.227743,-15.83071,7.22946,3.880602,-11.12986
2019/07/12 13:20:45.614081,20439.302,-0.5840701,8.537607,-15.16744,6.843379,4.351535,-11.20906
2019/07/12 13:20:45.614211,20569.489,0.2390021,6.204155,-13.15219,6.498311,4.71216,-11.21754
2019/07/12 13:20:45.614341,20699.675,0.291328,3.897573,-11.64039,6.156072,5.047328,-11.2034
2019/07/12 13:20:45.614471,20829.862,-0.9277241,3.872117,-10.6066,5.743121,5.458864,-11.20623
2019/07/12 13:20:45.614602,20960.049,-2.942978,5.754435,-10.5274,5.246732,5.955253,-11.21613
2019/07/12 13:20:45.614732,21090.235,-4.269511,7.689079,-10.73954,4.756,6.434672,-11.20199
2019/07/12 13:20:45.614862,21220.422,-4.666904,8.379215,-10.76499,4.314765,6.833479,-11.15107
2019/07/12 13:20:45.614992,21350.608,-4.826711,8.007277,-10.3676,3.845247,7.218146,-11.07046
